iscii,bn,dv,pa,gu,as,or,ta,te,kn,ml,en
a0,,ॐ,,ૐ,,,,,,,
a1,ঁ,ँ,ਁ,ઁ,ঁ,ଁ,,ఁ,,,
a2,ং,ं,ਁ,ં,ং,ଂ,ஂ,ం,ಂ,ം,
a3,ঃ,ः,ਃ,ઃ,ঃ,ଃ,ஃ,ః,ಃ,ഃ,
a4,অ,अ,ਅ,અ,অ,ଅ,அ,అ,ಅ,അ,a
a5,আ,आ,ਆ,આ,আ,ଆ,ஆ,ఆ,ಆ,ആ,
a6,ই,इ,ਇ,ઇ,ই,ଇ,இ,ఇ,ಇ,ഇ,i
a6*,ঌ,ऌ,,ઌ,ঌ,ଌ,,ఌ,ಌ,ഌ,
a7,ঈ,ई,ਈ,ઈ,ঈ,ଈ,ஈ,ఈ,ಈ,ഈ,
a7*,ৡ,ॡ,,ૡ,ৡ,ୡ,,ౡ,ೡ,ൡ,
a8,উ,उ,ਉ,ઉ,উ,ଉ,உ,ఉ,ಉ,ഉ,u
a9,ঊ,ऊ,ਊ,ઊ,ঊ,ଊ,ஊ,ఊ,ಊ,ഊ,
aa,ঋ,ऋ,,ઋ,ঋ,ଋ,,ఋ,ಋ,ഋ,
aa*,ৠ,ॠ,,ૠ,ৠ,ୠ,,ౠ,ೠ,ൠ,
ab,,ऎ,,,,,எ,ఎ,ಎ,എ,e
ac,এ,ए,ਏ,એ,এ,ଏ,ஏ,ఏ,ಏ,ഏ,
ad,ঐ,ऐ,ਐ,ઐ,ঐ,ଐ,ஐ,ఐ,ಐ,ഐ,
ae,,ऍ,,ઍ,,,,,,,
af,,ऒ,,,,,ஒ,ఒ,ಒ,ഒ,o
b0,ও,ओ,ਓ,ઓ,ও,ଓ,ஓ,ఓ,ಓ,ഓ,
b1,ঔ,औ,ਔ,ઔ,ঔ,ଔ,ஔ,ఔ,ಔ,ഔ,
b2,,ऑ,,ઑ,,,,,,,
b3,ক,क,ਕ,ક,ক,କ,க,క,ಕ,ക,k
b3*,,क़,,,,,,,,,q
b4,খ,ख,ਖ,ખ,খ,ଖ,,ఖ,ಖ,ഖ,
b4*,,ख़,ਖ਼,,,,,,,,
b5,গ,ग,ਗ,ગ,গ,ଗ,,గ,ಗ,ഗ,g
b5*,,ग़,ਗ਼,,,,,,,,
b6,ঘ,घ,ਘ,ઘ,ঘ,ଘ,,ఘ,ಘ,ഘ,
b7,ঙ,ङ,ਙ,ઙ,ঙ,ଙ,ங,ఙ,ಙ,ങ,
b8,চ,च,ਚ,ચ,চ,ଚ,ச,చ,ಚ,ച,c
b9,ছ,छ,ਛ,છ,ছ,ଛ,,ఛ,ಛ,ഛ,
ba,জ,ज,ਜ,જ,জ,ଜ,ஜ,జ,ಜ,ജ,j
ba*,,ज़,ਜ਼,,,,,,,,z
bb,ঝ,झ,ਝ,ઝ,ঝ,ଝ,,ఝ,ಝ,ഝ,
bc,ঞ,ञ,ਞ,ઞ,ঞ,ଞ,ஞ,ఞ,ಞ,ഞ,
bd,ট,ट,ਟ,ટ,ট,ଟ,ட,ట,ಟ,ട,t
be,ঠ,ठ,ਠ,ઠ,ঠ,ଠ,,ఠ,ಠ,ഠ,
bf,ড,ड,ਡ,ડ,ড,ଡ,,డ,ಡ,ഡ,d
bf*,ড়,ड़,ੜ,,ড়,ଡ଼,,,,,
c0,ঢ,ढ,ਢ,ઢ,ঢ,ଢ,,ఢ,ಢ,ഢ,
c0*,ঢ়,ढ़,,,ঢ়,ଢ଼,,,,,
c1,ণ,ण,ਣ,ણ,ণ,ଣ,ண,ణ,ಣ,ണ,
c2,ত,त,ਤ,ત,ত,ତ,த,త,ತ,ത,
c3,থ,थ,ਥ,થ,থ,ଥ,,థ,ಥ,ഥ,
c4,দ,द,ਦ,દ,দ,ଦ,,ద,ದ,ദ,
c5,ধ,ध,ਧ,ધ,ধ,ଧ,,ధ,ಧ,ധ,
c6,ন,न,ਨ,ન,ন,ନ,ந,న,ನ,ന,n
c7,,ऩ,,,,,ன,,,,
c8,প,प,ਪ,પ,প,ପ,ப,ప,ಪ,പ,p
c9,ফ,फ,ਫ,ફ,ফ,ଫ,,ఫ,ಫ,ഫ,f
c9*,,फ़,ਫ਼,,,,,,ೞ,,
ca,ব,ब,ਬ,બ,ব,ବ,,బ,ಬ,ബ,b
cb,ভ,भ,ਭ,ભ,ভ,ଭ,,భ,ಭ,ഭ,
cc,ম,म,ਮ,મ,ম,ମ,ம,మ,ಮ,മ,m
cd,য,य,ਯ,ય,য,ଯ,ய,య,ಯ,യ,y
ce,য়,य़,,,য়,ୟ,,,,,
cf,র,र,ਰ,ર,ৰ︎,ର,ர,ర,ರ,ര,r
d0,,ऱ,,,,,ற,ఱ,ಱ,റ,
d1,ল,ल,ਲ,લ,ল,ଲ,ல,ల,ಲ,ല,l
d2,,ळ,ਲ਼,ળ,,ଳ,ள,ళ,ಳ,ള,
d3,,ऴ,,,,,ழ,,,ഴ,
d4,ব,व,ਵ,વ,ৱ,ଵ,வ,వ,ವ,വ,v
d5,শ,श,ਸ਼,શ,শ,ଶ,ஶ,శ,ಶ,ശ,
d6,ষ,ष,,ષ,ষ,ଷ,ஷ,ష,ಷ,ഷ,
d7,স,स,ਸ,સ,স,ସ,ஸ,స,ಸ,സ,s
d8,হ,ह,ਹ,હ,হ,ହ,ஹ,హ,ಹ,ഹ,h
d9,,,,,,,,,,,
da,া,ा,ਾ,ા,া,ା,ா,ా,ಾ,ാ,
db,ি,ि,ਿ,િ,ি,ି,ி,ి,ಿ,ി,i
db*,ৢ,ॢ,,ૢ,ৢ,ୢ,,ౢ,ೢ,ൢ,
dc, 	ী,ी,ੀ,ી,ী,ୀ,ீ,ీ,ೀ,ീ,
dc*,ৣ,ॣ,,ૣ,ৣ,ୣ,,ౣ,ೣ,ൣ,
dd,ু,ु,ੁ,ુ,ু,ୁ,ு,ు,ು,ു,
de,ূ,ू,ੂ,ૂ,ূ,ୂ,ூ,ూ,ೂ,ൂ,
df,ৃ,ृ,,ૃ,ৃ,ୃ,,ృ,ೃ,ൃ,
df*,ৄ,ॄ,,ૄ,ৄ,ୄ,,ౄ,ೄ,ൄ,
e0,,ॆ,,,,,ெ,ె,ೆ,െ,
e1,ে,े,ੇ,ે,ে,େ,ே,ే,ೇ,േ,
e2,ৈ,ै,ੈ,ૈ,ৈ,ୈ,ை,ై,ೈ,ൈ,
e3,,ॅ,,ૅ,,,,,,,
e4,,ॊ,,,,,ொ,ొ,ೊ,ൊ,
e5,ো,ो,ੋ,ો,ো,ୋ,ோ,ో,ೋ,ോ,
e6,ৌ,ौ,ੌ,ૌ,ৌ,ୌ,ௌ,ౌ,ೌ,ൌ,
e7,,ॉ,,ૉ,,,,,,,
e8,্,्,੍,્,্,୍,்,్,್,്,
e9,়,़,਼,઼,়,଼,,,಼,,
ea,,।,,,,,,,,,
ea*,ঽ,ऽ,,ઽ,ঽ,ଽ,,ఽ,ಽ,ഽ,
f1,০,०,੦,૦,০,୦,0,౦,೦,൦,0
f2,১,१,੧,૧,১,୧,௧,౧,೧,൧,1
f3,২,२,੨,૨,২,୨,௨,౨,೨,൨,2
f4,৩,३,੩,૩,৩,୩,௩,౩,೩,൩,3
f5,৪,४,੪,૪,৪,୪,௪,౪,೪,൪,4
f6,৫,५,੫,૫,৫,୫,௫,౫,೫,൫,5
f7,৬,६,੬,૬,৬,୬,௬,౬,೬,൬,6
f8,৭,७,੭,૭,৭,୭,௭,౭,೭,൭,7
f9,৮,८,੮,૮,৮,୮,௮,౮,೮,൮,8
fa,৯,९,੯,૯,৯,୯,௯,౯,೯,൯,9
